Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
Cristiano Ronaldo,3-Feb,Liga Portugal,6,10/7/2002,H,Sporting CP,Moreirense FC,3:00,LW,34,2:00,Solo run,
Cristiano Ronaldo,3-Feb,Liga Portugal,6,10/7/2002,H,Sporting CP,Moreirense FC,3:00,LW,90+5,3:00,Header,Rui Jorge
Cristiano Ronaldo,3-Feb,Liga Portugal,8,10/26/2002,A,Sporting CP,Boavista FC,1:02,,88,1:02,Right-footed shot,Carlos Martins
Cristiano Ronaldo,3-Feb,Taca de Portugal Placard,Fourth Round,11/24/2002,H,Sporting CP,CD Estarreja,4:01,,67,3:00,Left-footed shot,Cesar Prates
Cristiano Ronaldo,3-Feb,Taca de Portugal Placard,Fifth Round,12/18/2002,H,Sporting CP,FC Oliveira do Hospital,8:01,,13,3:00,,
Cristiano Ronaldo,4-Mar,Premier League,11,11/1/2003,H,Manchester United,Portsmouth FC,3:00,RW,80,2:00,Direct free kick,
Cristiano Ronaldo,4-Mar,FA Cup,Fifth Round,2/14/2004,H,Manchester United,Manchester City,4:02,RW,74,3:00,Right-footed shot,
Cristiano Ronaldo,4-Mar,Premier League,29,3/20/2004,H,Manchester United,Tottenham Hotspur,3:00,,89,2:00,Right-footed shot,
Cristiano Ronaldo,4-Mar,Premier League,32,4/10/2004,A,Manchester United,Birmingham City,1:02,,60,1:01,Header,Ryan Giggs
Cristiano Ronaldo,4-Mar,Premier League,38,5/15/2004,A,Manchester United,Aston Villa,0:02,,4,0:01,Right-footed shot,
Cristiano Ronaldo,4-Mar,FA Cup,Final,5/22/2004,H,Manchester United,Millwall FC,3:00,RW,44,1:00,Header,Gary Neville
Cristiano Ronaldo,5-Apr,Premier League,16,12/4/2004,H,Manchester United,Southampton FC,3:00,,87,3:00,Right-footed shot,Gary Neville
Cristiano Ronaldo,5-Apr,FA Cup,Third Round,1/19/2005,A,Manchester United,Exeter City,0:02,,9,0:01,,Paul Scholes
Cristiano Ronaldo,5-Apr,Premier League,24,1/22/2005,H,Manchester United,Aston Villa,3:01,,8,1:00,Right-footed shot,Louis Saha
Cristiano Ronaldo,5-Apr,Premier League,25,2/1/2005,A,Manchester United,Arsenal FC,2:04,RW,54,2:02,Left-footed shot,Ryan Giggs
Cristiano Ronaldo,5-Apr,Premier League,25,2/1/2005,A,Manchester United,Arsenal FC,2:04,RW,58,2:03,Tap-in,Ryan Giggs
Cristiano Ronaldo,5-Apr,FA Cup,Fifth Round,2/19/2005,A,Manchester United,Everton FC,0:02,,58,0:02,Tap-in,Paul Scholes
Cristiano Ronaldo,5-Apr,FA Cup,Sixth Round,3/12/2005,A,Manchester United,Southampton FC,0:04,,45+1,0:02,Left-footed shot,Ruud van Nistelrooy
Cristiano Ronaldo,5-Apr,Premier League,30,3/19/2005,H,Manchester United,Fulham FC,1:00,,21,1:00,Right-footed shot,Roy Keane
Cristiano Ronaldo,5-Apr,FA Cup,Semi-Finals,4/17/2005,A,Manchester United,Newcastle United,1:04,RW,76,1:04,Right-footed shot,Ruud van Nistelrooy
Lionel Messi,5-Apr,LaLiga,34,5/1/2005,H,FC Barcelona,Albacete Balompie,2:00,CF,90+1,2:00,Left-footed shot,Ronaldinho Gaacho
